fold,test_size,high_risk_count,overall_r2,overall_rmse,high_risk_r2,high_risk_rmse,low_mid_r2,low_mid_rmse
1,38,9,0.6045497607173955,13.858134801366237,0.7288794815833138,10.469454305210483,-0.3687367750314807,14.752363861461651
2,38,10,0.5375884441317216,11.89121360345952,-5.419683008842553,15.066944964347964,0.26965871740906977,10.527359272409681
3,38,10,0.5878369229411566,14.744514371123493,-0.39985383402972774,18.69244704552988,-0.18851423921738975,13.048194987417615
4,38,10,0.6977637720671865,13.387933678414235,-0.35186240348000064,18.807770651928607,0.43819510887103585,10.812814523574103
5,38,11,0.5322942724814321,14.391152334831128,-1.9669328053878523,17.905851261675405,0.010682093802792503,12.683009174520638
