Experiment,Feature_Count,RMSE,R2,MAE,MSE,Best_Alpha,Comprehensive_Score
原始特征,16,4.218785779458709,0.9379311146987852,3.542667263639304,17.79815345296302,0.1,0.8818108967171613
所有增强特征,35,4.516312497873598,0.9288676809023205,3.830094416127162,20.397078578449253,0.1,0.8701954480284146
顶级5特征,5,4.521416457165939,0.9287068144391318,3.631160997390765,20.443206779130996,0.1,0.8699924187031287
顶级15特征,15,4.544818857504842,0.9279668916721477,3.6691037339229844,20.65537844753161,0.1,0.8690598709896928
顶级10特征,10,4.621925440453423,0.9255019560929818,3.6551298445339455,21.362194777110567,0.1,0.8659683798738452
